iter	Accuracy	Logloss
0	0.61875	0.6840663069
1	0.675	0.6706775158
2	0.70625	0.6591972805
3	0.74375	0.6473016457
4	0.71875	0.6448688953
5	0.74375	0.6378002521
6	0.74375	0.6290905369
7	0.76875	0.6210130133
8	0.7625	0.6173042448
9	0.78125	0.6158720949
10	0.8	0.6114820517
11	0.7875	0.6058195666
12	0.825	0.5842668938
13	0.85625	0.5670014579
14	0.85625	0.562775176
15	0.86875	0.5578430604
16	0.86875	0.5537519715
17	0.8625	0.5532807777
18	0.86875	0.5432555358
19	0.8625	0.5397624202
20	0.9	0.5299138828
21	0.89375	0.5227138516
22	0.9	0.5162640975
23	0.89375	0.5106450067
24	0.925	0.4982562105
25	0.925	0.4982195303
26	0.9125	0.4908293007
27	0.9125	0.4862680219
28	0.9125	0.4860552449
29	0.91875	0.4798409551
30	0.9375	0.4636120274
31	0.94375	0.461725895
32	0.9375	0.4557257748
33	0.93125	0.4498941113
34	0.9375	0.4438017146
35	0.9375	0.439738249
36	0.9375	0.4328098693
37	0.9375	0.432489798
38	0.94375	0.4251378532
39	0.94375	0.4227323893
40	0.94375	0.4174119462
41	0.95	0.4129492575
42	0.95	0.4120733862
43	0.95	0.4113625167
44	0.94375	0.4078633356
45	0.95	0.4066483826
46	0.95	0.4018466635
47	0.95625	0.3989059743
48	0.9625	0.3949101876
49	0.9625	0.3932648087
50	0.9625	0.3907099644
51	0.9625	0.3907099527
52	0.9625	0.3882522918
53	0.9625	0.3863430342
54	0.9625	0.3838183102
55	0.96875	0.3771435917
56	0.96875	0.3732754569
57	0.96875	0.3715130422
58	0.96875	0.3695029573
59	0.9625	0.3603245237
60	0.9625	0.3507348269
61	0.9625	0.3475726292
62	0.9625	0.3412728276
63	0.9625	0.3382811691
64	0.975	0.3289953922
65	0.96875	0.3240844404
66	0.975	0.3214721055
67	0.975	0.3186748442
68	0.98125	0.3154295713
69	0.98125	0.311743293
70	0.98125	0.3079373191
71	0.9875	0.3028534481
72	0.99375	0.3020642768
73	0.98125	0.2999103104
74	0.9875	0.293528302
75	0.9875	0.2918718465
76	0.9875	0.2914001931
77	0.9875	0.2888278783
78	0.98125	0.2822539961
79	0.98125	0.2794529325
80	0.9875	0.274373581
81	0.9875	0.2732395693
82	0.9875	0.2727702048
83	0.9875	0.2709919928
84	0.99375	0.266723304
85	0.99375	0.263736235
86	1	0.2610777436
87	1	0.2560663438
88	1	0.2495817429
89	1	0.2473855041
90	1	0.2440514965
91	0.99375	0.2398490339
92	1	0.2376081808
93	0.99375	0.2354712051
94	0.99375	0.2337281772
95	0.99375	0.230008684
96	0.99375	0.2295412318
97	0.99375	0.2283934462
98	0.99375	0.2273071837
99	0.99375	0.2241860499
100	0.99375	0.2216105826
101	0.99375	0.2200136457
102	0.99375	0.2186186608
103	0.99375	0.2163829663
104	0.99375	0.2132115659
105	0.99375	0.2114211459
106	0.99375	0.2098834128
107	0.99375	0.2067485876
108	0.99375	0.2054037294
109	0.99375	0.2042858796
110	0.99375	0.2020261289
111	0.99375	0.1982545561
112	0.99375	0.1938076254
113	0.99375	0.1922395228
114	0.99375	0.1913376628
115	0.99375	0.1891347141
116	0.99375	0.1876957773
117	0.99375	0.1861685958
118	0.99375	0.1859363862
119	0.99375	0.1857845228
120	0.99375	0.1830089405
121	0.99375	0.1815488033
122	0.99375	0.180716457
123	0.99375	0.1780539119
124	0.99375	0.1746906515
125	1	0.174163757
126	1	0.1717782162
127	1	0.1707652326
128	1	0.1681057131
129	1	0.167185805
130	1	0.1648388978
131	1	0.1625817988
132	1	0.1603662126
133	1	0.1581268443
134	1	0.1569007245
135	1	0.1555141779
136	1	0.1540536087
137	1	0.1532124593
138	1	0.151331302
139	1	0.1506635255
140	1	0.1480417654
141	1	0.1477721912
142	1	0.146627342
143	1	0.1462762177
144	1	0.1447835368
145	1	0.1422021317
146	1	0.1412448341
147	1	0.1408874013
148	1	0.140111831
149	1	0.1386741202
150	1	0.1377291654
151	1	0.1368823246
152	1	0.1363629425
153	1	0.1353352486
154	1	0.1336949521
155	1	0.1319045902
156	1	0.1316068175
157	1	0.1311122538
158	1	0.1301197542
159	1	0.1290172798
160	1	0.128289102
161	1	0.1268048199
162	1	0.1253986216
163	1	0.1250205663
164	1	0.1234153057
165	1	0.1228013266
166	1	0.1225641362
167	1	0.1219761804
168	1	0.120536365
169	1	0.1194492759
170	1	0.118714401
171	1	0.1170917166
172	1	0.1168765239
173	1	0.1155077544
174	1	0.1143845811
175	1	0.1136566319
176	1	0.1124255676
177	1	0.1111123033
178	1	0.1101022446
179	1	0.1092484693
180	1	0.1080235155
181	1	0.1075029977
182	1	0.1062451994
183	1	0.1056832074
