iter	Passed	Remaining
0	53	16087
1	57	8580
2	61	6111
3	65	4833
4	68	4031
5	71	3502
6	74	3131
7	79	2889
8	85	2759
9	89	2604
10	96	2528
11	101	2436
12	105	2320
13	108	2207
14	110	2103
15	113	2018
16	116	1945
17	119	1879
18	123	1821
19	127	1779
20	130	1732
21	134	1696
22	137	1656
23	141	1622
24	144	1588
25	146	1542
26	149	1507
27	151	1471
28	153	1433
29	155	1398
30	157	1368
31	160	1342
32	162	1313
33	164	1286
34	166	1260
35	168	1235
36	169	1208
37	171	1180
38	173	1163
39	175	1140
40	177	1118
41	178	1098
42	180	1076
43	181	1055
44	183	1037
45	184	1021
46	186	1004
47	188	989
48	190	973
49	191	957
50	193	943
51	194	925
52	195	913
53	197	899
54	198	886
55	200	874
56	202	863
57	204	853
58	206	844
59	208	835
60	210	825
61	213	821
62	216	815
63	219	808
64	222	805
65	225	798
66	228	793
67	231	789
68	233	782
69	236	775
70	239	773
71	242	766
72	244	759
73	246	753
74	248	745
75	250	738
76	252	731
77	257	733
78	259	726
79	263	725
80	266	721
81	269	715
82	272	713
83	276	710
84	279	707
85	281	701
86	284	696
87	287	691
88	290	689
89	293	685
90	296	680
91	298	675
92	301	671
93	303	665
94	307	662
95	308	656
96	310	649
97	312	644
98	314	638
99	316	632
100	318	627
101	320	622
102	322	617
103	324	612
104	326	607
105	329	602
106	333	601
107	335	597
108	338	593
109	341	589
110	343	585
111	346	581
112	348	577
113	352	575
114	356	573
115	359	569
116	361	564
117	363	560
118	365	555
119	367	550
120	369	545
121	370	541
122	372	536
123	374	532
124	376	527
125	378	523
126	380	518
127	382	513
128	384	509
129	385	504
130	387	500
131	389	495
132	391	491
133	393	486
134	394	482
135	397	479
136	399	475
137	401	470
138	402	466
139	405	462
140	406	458
141	408	454
142	411	451
143	413	448
144	415	444
145	417	440
146	419	436
147	421	432
148	422	428
149	425	425
150	426	421
151	428	417
152	430	413
153	432	409
154	434	406
155	437	403
156	439	400
157	441	396
158	444	394
159	446	391
160	449	388
161	453	386
162	455	382
163	457	379
164	460	376
165	462	373
166	464	370
167	466	366
168	468	363
169	470	359
170	472	356
171	474	352
172	476	349
173	478	346
174	479	342
175	482	339
176	484	336
177	486	333
178	488	330
179	490	327
180	492	323
181	494	320
182	496	317
183	497	313
184	499	310
185	501	307
186	503	304
187	505	300
188	507	297
189	509	295
190	511	291
191	513	289
192	516	286
193	518	283
194	519	279
195	521	276
196	523	273
197	525	270
198	527	267
199	529	264
200	531	261
201	533	258
202	535	255
203	537	253
204	540	250
205	544	248
206	547	245
207	551	244
208	557	242
209	560	240
210	563	237
211	565	234
212	568	232
213	570	229
214	573	226
215	575	223
216	578	221
217	581	218
218	584	216
219	588	214
220	591	211
221	596	209
222	598	206
223	601	203
224	603	201
225	605	198
226	610	196
227	613	193
228	616	191
229	618	188
230	621	185
231	623	182
232	627	180
233	629	177
234	633	175
235	636	172
236	640	170
237	643	167
238	646	165
239	649	162
240	653	159
241	656	157
242	660	154
243	663	152
244	666	149
245	669	146
246	673	144
247	676	141
248	678	139
249	681	136
250	684	133
251	687	130
252	689	128
253	691	125
254	693	122
255	695	119
256	697	116
257	699	113
258	701	110
259	702	108
260	705	105
261	708	102
262	714	100
263	717	97
264	721	95
265	724	92
266	726	89
267	727	86
268	729	84
269	731	81
270	733	78
271	736	75
272	738	73
273	740	70
274	742	67
275	744	64
276	746	62
277	748	59
278	750	56
279	752	53
280	754	50
281	756	48
282	757	45
283	760	42
284	762	40
285	764	37
286	766	34
287	767	31
288	769	29
289	771	26
290	773	23
291	775	21
292	777	18
293	779	15
294	781	13
295	783	10
296	784	7
297	786	5
298	788	2
299	790	0
